Year,Month,State,Suicides,Suicides with guns,Fraction of suicides with guns
2019,4,California,385,149,0.387012987
2019,5,California,355,115,0.323943662
2019,6,California,409,144,0.3520782396
2019,7,California,373,145,0.3887399464
2019,8,California,446,159,0.3565022422
2019,9,California,381,134,0.3517060367
2019,10,California,348,106,0.3045977011
2019,11,California,319,110,0.3448275862
2019,12,California,333,122,0.3663663664
1999,1,Colorado,57,32,0.5614035088
1999,2,Colorado,36,21,0.5833333333
1999,3,Colorado,45,18,0.4
1999,4,Colorado,46,26,0.5652173913
1999,5,Colorado,52,26,0.5
1999,6,Colorado,52,30,0.5769230769
1999,7,Colorado,37,18,0.4864864865
1999,8,Colorado,57,30,0.5263157895
1999,9,Colorado,43,29,0.6744186047
1999,10,Colorado,56,29,0.5178571429
1999,11,Colorado,45,23,0.5111111111
1999,12,Colorado,48,27,0.5625
2000,1,Colorado,58,35,0.6034482759
2000,2,Colorado,49,39,0.7959183673
2000,3,Colorado,50,30,0.6
2000,4,Colorado,55,29,0.5272727273
2000,5,Colorado,59,32,0.5423728814
2000,6,Colorado,50,22,0.44
2000,7,Colorado,49,28,0.5714285714
2000,8,Colorado,55,28,0.5090909091
2000,9,Colorado,40,24,0.6
2000,10,Colorado,51,30,0.5882352941
2000,11,Colorado,43,22,0.511627907
2000,12,Colorado,54,31,0.5740740741
2001,1,Colorado,52,28,0.5384615385
2001,2,Colorado,51,29,0.568627451
2001,3,Colorado,61,31,0.5081967213
2001,4,Colorado,73,38,0.5205479452
2001,5,Colorado,80,47,0.5875
2001,6,Colorado,69,35,0.5072463768
2001,7,Colorado,48,22,0.4583333333
2001,8,Colorado,59,29,0.4915254237
2001,9,Colorado,54,30,0.5555555556
