Year,Month,Day,USA
2001,12,8,"44,772"
2001,12,9,"17,493"
2001,12,10,"35,756"
2001,12,11,"37,492"
2001,12,12,"37,581"
2001,12,13,"39,951"
2001,12,14,"49,502"
2001,12,15,"51,906"
2001,12,16,"19,638"
2001,12,17,"42,121"
2001,12,18,"41,635"
2001,12,19,"42,443"
2001,12,20,"47,227"
2001,12,21,"59,722"
2001,12,22,"55,481"
2001,12,23,"21,250"
2001,12,24,"34,185"
2001,12,25,0
2001,12,26,"31,227"
2001,12,27,"30,155"
2001,12,28,"32,595"
2001,12,29,"25,622"
2001,12,30,"6,287"
2001,12,31,"28,635"
2002,1,1,"3,087"
2002,1,2,"25,261"
